,NGCC profit (M$),SOFC profit (M$),NGCC+SOEC profit (M$),rSOC profit (M$),SOFC+SOEC profit (M$),SOEC profit (M$),Natural Gas Price ($/MMBtu),Carbon Tax ($/tonne),Hydrogen Price ($/kg),Mean LMP ($/MWh),Minimum LMP ($/MWh),25th Percentile ($/MWh),50th Percentile ($/MWh),75th Percentile ($/MWh),Maximum LMP ($/MWh),Standard Deviation ($/MWh),Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Dip Test p-value
ISO_NE_2019_15,-145.3675561,-70.77095628,-187.685633,-15.29631505,-31.33314573,3.441481977,4.5,0,1.5,30.67519406,-56.16,19.0475,24.55,35.94,261.35,20.56166968,2.80590636,13.04447472,0.552996735,0.001763626,1
ISO_NE_2022_15,-51.452119,63.64741911,-109.4627981,62.42206948,53.11731807,-63.59499249,10.76,0,1.5,84.91544863,-150.91,49.545,65.87,98.705,2254.35,64.92435099,6.741013859,157.4969691,0.289357305,0.002238656,0.994999534
MiNg_$100_CAISO_2035_15,51.86618945,130.8438301,46.30732284,215.2782445,202.2700599,8.129589595,2.26,100,1.5,52.97257669,0,1.17,73.585,91.23,178.28,43.71907064,-0.199731517,-1.568262256,0.725792605,0.156735096,0
MiNg_$100_ERCOT_2035_15,-55.73354711,18.50913219,-56.43704934,122.5509416,96.18088826,37.09887293,2.64,100,1.5,33.66061126,0,0,30.385,70.13,186.42,35.29746933,0.482471217,-0.945428853,0.599716589,0.07461005,0
MiNg_$100_MISO-W_2035_15,-27.17571321,44.04811322,-11.50733468,149.1065899,129.1636804,40.09399457,1.69,100,1.5,35.12351419,0,0,42.12,69.24,145.07,34.44692668,0.142891078,-1.714727084,0.793294769,0.10022202,0
MiNg_$100_NYISO_2035_15,-8.565812299,56.6448684,29.1570428,179.9396882,163.5012197,51.00179841,1.12,100,1.5,35.21884386,0,0,1.41,74.6625,182.14,40.05829425,0.487903694,-1.195248043,0.685603037,0.114545578,0
MiNg_$100_PJM-W_2035_15,32.05098539,111.5527396,32.68021375,173.8896833,172.6611619,-5.899110706,1.42,100,1.5,48.01168613,0,8.06,63.575,76.9025,172.29,33.47362079,-0.325040878,-1.426971765,0.702420734,0.116823124,0
MiNg_$150_CAISO_2035_15,31.38078023,101.135101,46.6700732,225.8213276,202.7941763,51.55607996,2.26,150,1.5,45.34645604,0,0,1.53,105.405,203.01,53.73638702,0.443520376,-1.643399563,0.881469471,0.116924297,0
MiNg_$150_ERCOT_2035_15,-23.2813038,45.59650186,-13.97342016,175.7440635,143.8825786,63.70884258,2.64,150,1.5,36.18433265,0,0,0.18,92.95,204.49,46.60158175,0.660464622,-1.313764678,0.851207558,0.095942041,0
MiNg_$150_MISO-W_2035_15,-53.10631839,10.38669974,-20.79366376,155.5554021,123.9696888,83.56625648,2.01,150,1.5,28.1322516,0,0,0.25,70.01,162.06,40.38926288,0.919725797,-0.924047432,0.8887388,0.061314676,0
MiNg_$150_NYISO_2035_15,-8.282207536,52.42128159,47.31702623,202.2812068,182.7295717,79.93267914,1.14,150,1.5,33.67239469,0,0,0.27,92.62,229.17,48.60417613,0.901800383,-0.82216734,0.832197207,0.086154364,0
