model5, CAISO_SP15_2022, 0.6690912167231242, 10.36415985027949, 11.033251067002615, optimal
model6, CAISO_SP15_2022, 0.2635061303774516, 1.489842665195465, 1.7533487955729166, optimal
model3, ERCOT_NORTH_2022, 0.6937109510103862, 9.597511299451192, 10.291222250461578, optimal
model4, ERCOT_NORTH_2022, 0.2516952157020569, 2.9718385696411134, 3.2235337853431703, optimal
model5, ERCOT_NORTH_2022, 0.7215068141619364, 6.203055202960968, 6.924562017122905, optimal
model6, ERCOT_NORTH_2022, 0.21179121732711792, 1.432123851776123, 1.643915069103241, optimal
model3, ERCOT_SOUTH_2022, 0.7392624537150065, 9.433600016434987, 10.172862470149994, optimal
model4, ERCOT_SOUTH_2022, 0.22104899883270263, 2.7232295274734497, 2.944278526306152, optimal
model5, ERCOT_SOUTH_2022, 0.6870465993881225, 7.848636750380198, 8.53568334976832, optimal
model6, ERCOT_SOUTH_2022, 0.19445273478825886, 1.3937180320421854, 1.5881707668304443, optimal
model3, ERCOT_WEST_2022, 0.6967390696207683, 7.908020015557607, 8.604759085178376, optimal
model4, ERCOT_WEST_2022, 0.22178141276041666, 3.21918261051178, 3.4409640232721963, optimal
model5, ERCOT_WEST_2022, 0.6644920508066813, 8.607376484076182, 9.271868534882863, optimal
model6, ERCOT_WEST_2022, 0.191830050945282, 1.380607799688975, 1.572437850634257, optimal
model3, ERCOT_HOUSTON_2022, 0.682702898979187, 9.958057753245036, 10.640760652224223, optimal
model4, ERCOT_HOUSTON_2022, 0.2306542158126831, 3.243632936477661, 3.4742871522903442, optimal
model5, ERCOT_HOUSTON_2022, 0.7442326347033182, 8.596174935499826, 9.340407570203144, optimal
model6, ERCOT_HOUSTON_2022, 0.20048508246739705, 1.4743703802426655, 1.6748554627100627, optimal
model3, ISO_NE_2022, 0.956717832883199, 23.615596115589142, 24.572313948472342, optimal
model4, ISO_NE_2022, 0.33666628201802573, 4.26772590080897, 4.604392182826996, optimal
model5, ISO_NE_2022, 6.270073548952738, 33.92697611649831, 40.19704966545105, optimal
model6, ISO_NE_2022, 0.2793040672938029, 1.5569202343622843, 1.8362243016560873, optimal
model3, NYISO_2022, 0.9389589309692383, 9.10802712837855, 10.04698605934779, optimal
model4, NYISO_2022, 0.22165411313374836, 3.801839315891266, 4.023493429025014, optimal
model5, NYISO_2022, 0.8377463618914286, 10.868319837252299, 11.706066199143727, optimal
model6, NYISO_2022, 0.2086650848388672, 1.4159364342689513, 1.6246015191078185, optimal
model3, MISO_INDIANA_2022, 2.1459081172943115, 20.856068555514018, 23.00197667280833, optimal
model4, MISO_INDIANA_2022, 0.24637317657470703, 3.6139960209528605, 3.8603691975275676, optimal
model5, MISO_INDIANA_2022, 1.2248279015223185, 10.946514395872752, 12.171342297395071, optimal
model6, MISO_INDIANA_2022, 0.2634366671244303, 1.7838576157887778, 2.047294282913208, optimal
model3, MISO_LOUISIANA_2022, 1.4955240646998087, 13.571071887016297, 15.066595951716106, optimal
model4, MISO_LOUISIANA_2022, 0.22407745520273845, 3.7801153024037677, 4.004192757606506, optimal
model5, MISO_LOUISIANA_2022, 1.8074642658233642, 10.944687402248382, 12.752151668071747, optimal
model6, MISO_LOUISIANA_2022, 0.2223991870880127, 1.8506367206573486, 2.0730359077453615, optimal
model3, MISO_MINNESOTA_2022, 0.9126226822535197, 16.38236951828003, 17.29499220053355, optimal
model4, MISO_MINNESOTA_2022, 0.20624974966049195, 4.047574333349863, 4.253824083010355, optimal
model5, MISO_MINNESOTA_2022, 0.6728310346603393, 9.083905827999114, 9.756736862659453, optimal
model6, MISO_MINNESOTA_2022, 0.1786018451054891, 1.1917344371477763, 1.3703362822532654, optimal
model3, PJM_WEST_2022, 0.5880273461341858, 9.639659051100413, 10.2276863972346, optimal
model4, PJM_WEST_2022, 0.2360858162244161, 3.4755751649538675, 3.7116609811782837, optimal
model5, PJM_WEST_2022, 0.8629997849464417, 8.93472471634547, 9.797724501291912, optimal
model6, PJM_WEST_2022, 0.27407811880111693, 1.9104685306549072, 2.184546649456024, optimal
model3, SPP_NORTH_2022, 0.8152400533358256, 12.23485658566157, 13.050096638997395, optimal
model4, SPP_NORTH_2022, 0.22155011494954427, 3.9670971194903055, 4.18864723443985, optimal
model5, SPP_NORTH_2022, 0.6011032025019328, 9.213834917545318, 9.814938120047252, optimal
model6, SPP_NORTH_2022, 0.17920186519622802, 1.2238038659095765, 1.4030057311058044, optimal
model3, SPP_SOUTH_2022, 0.7246638496716817, 10.216750284036001, 10.941414133707683, optimal
model4, SPP_SOUTH_2022, 0.238318665822347, 2.8880058964093527, 3.1263245622316997, optimal
model5, SPP_SOUTH_2022, 2.7545657118161517, 10.094697384039561, 12.849263095855713, optimal
model6, SPP_SOUTH_2022, 0.2309688170750936, 1.4578656196594237, 1.6888344367345174, optimal
model3, MiNg_$100_CAISO_2035, 0.3657966017723083, 4.082661585013072, 4.44845818678538, optimal
model4, MiNg_$100_CAISO_2035, 0.2628771940867106, 1.1642048001289367, 1.4270819942156474, optimal
model5, MiNg_$100_CAISO_2035, 0.4072740157445272, 2.909589099884033, 3.31686311562856, optimal
model6, MiNg_$100_CAISO_2035, 0.1963986039161682, 1.1229462186495462, 1.3193448225657145, optimal
model3, MiNg_$150_CAISO_2035, 0.44309983650843304, 3.5653860688209535, 4.008485905329387, optimal
model4, MiNg_$150_CAISO_2035, 0.25488986968994143, 1.209023662408193, 1.4639135320981342, optimal
model5, MiNg_$150_CAISO_2035, 0.3905379851659139, 2.511744034290314, 2.9022820194562278, optimal
model6, MiNg_$150_CAISO_2035, 0.2286310116449992, 0.8681061506271363, 1.0967371622721354, optimal
model3, MiNg_$100_ERCOT_2035, 0.5035889188448588, 5.0712245066960655, 5.574813425540924, optimal
model4, MiNg_$100_ERCOT_2035, 0.2022681991259257, 2.1191028356552124, 2.321371034781138, optimal
model5, MiNg_$100_ERCOT_2035, 0.4659563342730204, 3.9027899503707886, 4.368746284643809, optimal
model6, MiNg_$100_ERCOT_2035, 0.1799181342124939, 0.7735407710075378, 0.9534589052200317, optimal
model3, MiNg_$150_ERCOT_2035, 0.4713371475537618, 4.295760365327199, 4.767097512880961, optimal
model4, MiNg_$150_ERCOT_2035, 0.22472554842631023, 1.189822014172872, 1.4145475625991821, optimal
model5, MiNg_$150_ERCOT_2035, 0.43509136835734047, 4.553645284970601, 4.988736653327941, optimal
model6, MiNg_$150_ERCOT_2035, 0.24076459805170694, 0.7724538683891297, 1.0132184664408366, optimal
model3, MiNg_$100_MISO-W_2035, 0.42823541164398193, 7.8707270661989845, 8.298962477842966, optimal
