,,Units,Description,
ccs_aic_terms,lean_solvent_pump,USD (2018) / yr,Annualized investment cost of the lean solvent pump,
ccs_aic_terms,stripper_column,USD (2018) / yr,Annualized investment cost of the stripper column,
ccs_aic_terms,stripper_packing,USD (2018) / yr,Annualized investment cost of the stripper packing,
ccs_aic_terms,stripper_condenser,USD (2018) / yr,Annualized investment cost of the condenser,
ccs_aic_terms,stripper_reboiler,USD (2018) / yr,Annualized investment cost of the reboiler,
ccs_aic_terms,reboiler_condensate_pot,USD (2018) / yr,Annualized investment cost of the condensate pot,
ccs_aic_terms,stripper_reflux_drum,USD (2018) / yr,Annualized investment cost of the stripper reflux drum,
ccs_aic_terms,stripper_reflux_pump,USD (2018) / yr,Annualized investment cost of the stripper reflux pump,
ccs_aic_terms,solvent_filtration,USD (2018) / yr,Annualized investment cost of solvent filtration,
ccs_aic_terms,solvent_storage_tank,USD (2018) / yr,Annualized investment cost of the solvent storage tank,
ccs_aic_terms,total_solvent_purchased,USD (2018) / yr,Annualized investment cost of total solvent purchased,
ccs_aoc_terms,rich_solvent_pump,USD (2018) / yr,Annualized operating cost of the rich solvent pump,
ccs_aoc_terms,lean_solvent_pump,USD (2018) / yr,Annualized operating cost of the lean solvent pump,
ccs_aoc_terms,reboiler,USD (2018) / yr,Annualized operating cost of the reboiler,
ccs_aoc_terms,condenser,USD (2018) / yr,Annualized operating cost of the condenser,
ccs_aoc_terms,H2O_makeup,USD (2018) / yr,Annualized operating cost of the H2O makeup,
specific_reboiler_duty,specific_reboiler_duty,MJ/kg CO2 captured,Specific reboiler duty,
ngcc_ccs_costing_output,costing_successful,,"True if postsolve NGCC + CCS costing was successful, False otherwise",
ngcc_ccs_costing_output,cooling_duty_CCS_compr,MW,Aggregate cooling duty requirement of the CCS system (including for compression),
ngcc_ccs_costing_output,plant_net_power,MW,Net power output of the NGCC generation plant,
ngcc_ccs_costing_output,IP_LP_crossover_steam_fraction,,Fraction of steam extracted from the NGCC plant for heating in the stripper reboiler,
ngcc_ccs_costing_output,CO2_capture_rate,lb/hr,Total mass flow rate of CO2 captured by the NGCC + CCS system (all process trains),
ngcc_ccs_costing_output,cost_CO2_avoided,USD (2018) / metric ton CO2,Cost of avoided Carbon (COAC) for the NGCC + CCS system,
ngcc_ccs_costing_output,cost_of_capture,USD (2018) / metric ton CO2,Levelized cost of CO2 captured for the NGCC + CCS system,
ngcc_ccs_costing_output,FG_Cleanup_TPC,Million USD (2018),Total NGCC + CCS plant cost associated with flue gas cleanup,
ngcc_ccs_costing_output,LCOE,USD (2018) / MWh,NGCC + CCS system levelized cost of electricity (LCOE),
ngcc_ccs_costing_output,capital_lcoe,USD (2018) / MWh,NGCC + CCS system levelized capital cost (LCOE),
ngcc_ccs_costing_output,fixed_lcoe,USD (2018) / MWh,NGCC + CCS system levelized fixed operation and maintenance cost (LCOE),
ngcc_ccs_costing_output,variable_lcoe,USD (2018) / MWh,NGCC + CCS system levelized variable operation and maintenance cost (LCOE),
ngcc_ccs_costing_output,transport_lcoe,USD (2018) / MWh,NGCC + CCS system levelized transportation cost (LCOE),
ngcc_ccs_costing_output,co2_emission_cap,metric ton/hr,Mass flow rate of CO2 emitted by the NGCC + CCS system,
ngcc_ccs_costing_output,capital_cost,Million USD (2018) / yr,NGCC + CCS system annualized capital cost,
ngcc_ccs_costing_output,ngcccap_total_fixed_OM_cost,Million USD (2018) / yr,NGCC + CCS system total fixed operation and maintenance cost,
ngcc_ccs_costing_output,ngcccap_total_variable_OM_cost,Million USD (2018) / yr,NGCC + CCS system total variable operation and maintenance cost,
ngcc_ccs_costing_output,ngcccap_transport_cost,Million USD (2018) / yr,NGCC + CCS system total transportation cost,
ngcc_ccs_costing_output,ngcccap_capacity_factor,,"Capacity factor of the NGCC plant, expressed as a fraction",
